index,label
0,HE COULD THERE WOULD BE STOOD FOR DINNER TERRIBLE FATHER FOR A FACT FOR FATHER FOR FATHER FOR FATHER FOR FATHER FOR FATHER FOR FATHER FOR FATHER FOR FATHER FOR FATHER
1,STIFF IT INTO HIS BALLY CONTIL IN THE END OF THE HOUSE OF HIS HEAD AND HE HAD A SAID THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME
2,AFTER YOUR IN THE AIR OF THE SCLOW OF PEAR IN THE AIR OF THE BROUGHT HER OF THE BROUGHTFULS
3,I WAS A BARTICULAR AND HE GOOD AND HER MIND
4,NO MUCH DOWN FRESH IN NO YOU COULD NOT KNOW COULD NOT KNOW COULD NOT HAVE BEEN TO HIS BEEN
5,THE MUSICAL FRIGHTMENT OF ONE ONE ONE ONE DRANK OF THE MOON ONE DRAIN COMPANY OF LONGER INCOMPANY OF LESS PAIL FOR WEARING HIS
6,THE DOLLIGHT FELL MORE FANCY WERE ON THE MOTHER RECLATION BEGAN TO ONE FOLLOWED HIS WIDE INTO SPREAD OF BROWD ITS WIDE INTELL
7,BUT COLD WITH SITTING DIFFERENCE WERE RAINED IN HIS SOUL
8,THE CAPACE OF WAS OF COLD INDIFFERENT NOW LITTLE INDIFFERENT NOW LITTLE INDIFFERENT NOW LITTLE JUDGE HIMSELF
9,AT MOST BY AND ALL INSPITE FROM HE MIGHT HOPE WEARLY TO WIND FOR HIMSELF SOME MESSURE OF ACTUAL GRACE
10,WHILE DOWN IN A SIDE TO CLEAR YOU HAVE AND SO HAS MY STICK
11,ON SATIRED IN MORNINGS WHEN THE SHAPPEL TO RECIDE THE LITTLE TO RECIDE THE LITTLE OFFICE HIS PLACE WAS A POINTESS HAD THE RIGHT OF THE OLD HER FOR WHICH HE LED HIS WINDOW
12,HER I SEEMED TO REGARD HIM WITH MY OPENER FRAIL FLESH TO DO NOT HE MOVED THE SINGER WILL PROCHER
13,IF IT HE WAS AN HOUSE TO CAST SAID FROM HIM MENTER OF PENT THE INCLES OF MOVE HIM WAS TO WHICH TO BE HER NIGHT
14,IT TURNED TO SAY CALLED THE SAME OF THE OTHER THE WAY OF THE OTHER THE WAY OF THE OTHER THE WAY OF THE OLD HE WAS THE DOOR THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME
15,WITH A DOZED THE BEAUTIFUL ROOM COVERED OVER HIS FACTS THE BOWER AND
16,THEY HAD NOT GOOD AND THEN THEY WERE THERE WAS THE OTHER THE WAY THE THING THE THING THE THING THE THING THE THING THE THIRTY THEY WERE THEY WERE THEY WERE THERE WAS THE OTHER THE PALACE
17,STEEMED LEAVING BACK AND DROWING I LIVELY ON HIS GROVER THIS INSTRUCT FROM TIME BY SAY
18,IT WAS TRANGED TOO THAT HE FOUND THEM AND A TRADING INTO OF SCHOOL AS THE DOCTRINES OF THE CHURCH AND AND A TRADING INTO OF SCHOOL OF SLIGHTEEN HERE AND FEEL THE MORE DEEPLY HIS OWN COME THEM THE MATION
19,THE SENTENCE OF SAME GAME WHICH SAYS THAT HE WOULD FANCE AGAINST ONE COMMEND BECOME TO GROVE IN THE DARKNESS OF HIS OWN STATE
20,IF A MAN AS STOOD OF POWN IN HIS YOUTH THAT HOME TO WHEN MASS THE HUMAN WHICH WAS HE ABLIGED TO YOU HAVE BEEN TO GIVE THEIR WITH A POWER THE POWER OLD HIS HEART FOR ALL HIS HEART FOR ALL HIS HEART FOR ALL HIS HEART FOR ALL HIS HEART FOR HIM
21,IF A LAMENT INDIVIDING BACK HIS AND OF POOR SAYING THE WORDS IS THE SHILL OF BACK TIES
22,HOW COME TO THE FIRST BEAUTY OF THE POOR OF HARD THE SECOND THE EFFORT OF HARD THE SECOND THE EVENTY OF THE THING SHOULD HAVE TO THE MEAK THAT DAY SHOP WAS AS THE LAND
23,WHY WAS THE SUCH REMEMBER THE TWO SPEAKS OF BREAD AND WIND IF SHE SAID PRESENT BOTH AND BLOOD SO AND DIVINITY IN THE WIND AND THE WINDOW
24,IF THE WIND CHANGE TO THE NEGARD AND THE HOUSE CRIED TO STILL PRESENT ON THE VERY SPEAKS AS GOD AND AS MAN
25,THE JUNGLE CAPT FROM THE TOLD BOY IN THE BENT BENT BEHIND THERE IS TO THE POOR CORSTION
26,THE REFUSE OF CAPTAIN CASE ON TO HER THE LESS INTO HER THE LESS INTO HER THE LEAST OF HIS HEAD AND HE WAS THE OLD HE WAS THE OLD HE WAS THE OLD HE WAS THE OLD HE WAS THE BOOK OF HIS HEAD
27,HE CLOSED TO HIS HANDS ON THE DESK OF HIS HEAD AND SAID
28,THE REFREED WILL BE GIVEN ON THE WOMAN'S THAT OFF HER NO MAN ON OUR OF SAYING FROM SIX OF DAY AS SAT HER DAY
29,ON FIVE AND FISHED AND WILL BE CARED ALL THEY AFTER BEATS
30,BE WAY OF MAKING THAT MISTAKE
31,STIPPED HIMSELF IT TO FOLLOW IN FAITH WITH THE RING FLOWED AND FAITH WITH A READ FLOWER
32,YOU IS COLONESS YOU KNOW THE OFF POSSIBLE OF THE INDIES
33,BUT GREAT SAID SAID FROM SUCCEEDED SAVERE
34,THE RETURN PALACE AND THEN SHAKING HIS CLASSED HANDS THE FOREHIM WHEN DOWN
35,HE HAD THE FACE IN HIM THAT MOVES MONTON
36,A GREAT STANT SAID FRIENDS AS THE SAME YOUR HALF AND HE WAS THE OTHER THE WAY OF HIS HEAD OF HIS HEAD OF HIS HEAD OF HIS HEAD OF HIS HEAD OF HIS HEAD OF HIS HEAD
37,IN THE SIDENCE THERE DARK FIRE CAN DO THE DOCTOR AND DO THE DOCTOR ANY GLOW
38,HE TOOK WAY NO MONDER
39,FOR A FOOLOUR HE HAD PACED UP A DOWN WAITING BUT HE DID WAY NO ONE GREAT NO ONE GREAT NO ONE GROW
40,HE SAID OFF THE BROKE LIKE FOR THE BOLD WHAT IN RATHER THE TABLES DISFOUNDED THE COURT OF THE POLICE BARRICK AND WAS SAKE
41,THEY YOU KNOW OF VERY SUCH AND HE HAD BEEN THE DOOR THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME
42,BRIDE OF HERSELF AS FACTION OF BELIEVE TO PIN WHY CLOUD SLOW WAYS
43,WHO IS FEET OUR AS THE FEET OF HARDS AND ONE DIRECT THE OTHER LESS IN THE ARMS
44,THE PRIDE OF AS TO HIS MIND TO THE DIGNITY OF THE OFFICE HE HAD REFUSED
45,SO THE WORLD BRIGHT WAS TRUMBLING AND PERSONALLY
46,YOU KNOW WERE READ OR LIVITED BY TWO STAYING YOU OR READ OR LIVITE BY THE SEA AND THIS HE STROKED THE LOOK OF THEM WITH HE EASE AND TO MISERATION ROSE TO HIS OWN FACE
